1,1,71.41,2000-11-17
3,1,94.73,2000-09-07
6,1,79.27,2000-03-19
8,1,61.54,2000-01-16
9,1,91.57,2000-12-13
10,1,85.99,2000-09-20
13,1,79.62,2000-03-18
16,1,78.83,2000-07-17
18,1,79.73,2000-01-31
20,1,61.23,2000-04-21
21,1,89.19,2000-02-23
24,1,88.33,2000-12-04
26,1,67.28,2000-08-21
30,1,91.64,2000-09-15
38,1,92.27,2000-09-15
39,1,66.93,2000-06-26
41,1,80.97,2000-05-29
42,1,67.43,2000-10-26
44,1,90.26,2000-11-22
46,1,96.99,2000-08-25
51,1,88.33,2000-06-24
55,1,63.09,2000-09-25
56,1,86.35,2000-12-13
57,1,72.76,2000-06-18
65,1,70.67,2000-03-22
68,1,79.03,2000-02-06
69,1,88.72,2000-08-25
70,1,74.4,2000-06-24
74,1,87.7,2000-12-13
79,1,65.28,2000-10-12
80,1,62.17,2000-11-30
81,1,93.77,2000-05-11
83,1,75.86,2000-04-13
86,1,91.84,2000-05-01
89,1,83.92,2000-02-08
90,1,89.97,2000-11-18
93,1,89.97,2000-07-01
95,1,69.03,2000-07-09
97,1,91.14,2000-03-16
98,1,94.23,2000-12-07
99,1,70.13,2000-11-26
100,1,84.39,2000-10-15
101,1,72.23,2000-11-06
103,1,93.13,2000-06-18
105,1,92.65,2000-11-28
106,1,72.05,2000-11-24
113,1,68.8,2000-09-27
118,1,68.73,2000-04-16
119,1,73.51,2000-07-23
120,1,78.12,2000-12-30
128,1,63.17,2000-06-09
130,1,71.34,2000-11-29
131,1,99.72,2000-10-29
134,1,87.22,2000-10-16
137,1,87.34,2000-01-27
139,1,79.58,2000-03-29
140,1,86.22,2000-04-01
144,1,62.81,2000-07-15
145,1,73.51,2000-07-10
154,1,95.75,2000-02-24
155,1,83.1,2000-05-04
157,1,78.63,2000-06-17
160,1,70.91,2000-12-20
163,1,66.43,2000-03-09
164,1,81.04,2000-10-04
166,1,65.25,2000-10-12
167,1,63.34,2000-12-01
170,1,82.58,2000-03-12
173,1,89.91,2000-11-04
177,1,65.95,2000-01-05
180,1,86.59,2000-06-28
181,1,66.58,2000-11-07
182,1,85.69,2000-10-08
184,1,78.5,2000-07-12
186,1,84.18,2000-07-21
190,1,72.1,2000-03-05
193,1,68.46,2000-02-10
195,1,69.78,2000-10-14
197,1,91.12,2000-04-21
209,1,91.85,2000-10-01
210,1,91.14,2000-05-01
212,1,75.08,2000-07-30
213,1,81.43,2000-01-05
214,1,71.45,2000-01-12
217,1,84.94,2000-12-05
218,1,73.47,2000-06-15
223,1,87.73,2000-01-13
224,1,78.3,2000-04-13
225,1,98.21,2000-01-25
